'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'AcsCycleCount,'AcsCycleTimeoutCount,'AcsCycleOasysCount,'AcsTlmTimeMax,'AcsTlmLast,'AcsTlmAve,'AcsOasysTimeMax,'AcsOasysLast,'AcsOasysAve,'AcsCycleTimeMax,'AcsCycleLast,'AcsCycleAve
2014-02-27 03:51:10,516,446745137700,142213,2084,140820,1912,453,476,10798,282,360,20229,855,1062
2014-02-27 03:52:16,62,446745203246,142246,2084,140853,1912,456,476,10798,328,360,20229,963,1062
2014-02-27 03:53:20,623,446745267807,142278,2084,140885,1912,454,476,10798,282,360,20229,856,1062
2014-02-27 03:54:26,181,446745333365,142311,2084,140918,1912,454,476,10798,334,360,20229,995,1062
2014-02-27 03:55:31,857,446745399041,142344,2084,140951,1912,458,476,10798,265,360,20229,1005,1062
2014-02-27 03:56:36,160,446745463344,142376,2084,140983,1912,453,476,10798,332,360,20229,955,1062
2014-02-27 03:57:41,888,446745529072,142409,2084,141016,1912,602,476,10798,271,360,20229,836,1062
2014-02-27 03:58:46,558,446745593742,142441,2084,141048,1912,453,476,10798,349,360,20229,922,1062
2014-02-27 03:59:52,73,446745659257,142474,2084,141081,1912,452,476,10798,330,360,20229,972,1062
2014-02-27 04:00:57,794,446745724978,142507,2084,141114,1912,577,476,10798,265,360,20229,966,1062
2014-02-27 04:02:02,420,446745789604,142539,2084,141146,1912,452,476,10798,272,360,20229,893,1062
2014-02-27 04:03:07,963,446745855147,142572,2084,141179,1912,459,476,10798,336,360,20229,969,1062
2014-02-27 04:04:12,551,446745919735,142604,2084,141211,1912,455,476,10798,328,360,20229,908,1062
2014-02-27 04:05:18,47,446745985231,142637,2084,141244,1912,454,476,10798,329,359,20229,925,1062
2014-02-27 04:06:23,799,446746050983,142670,2084,141277,1912,525,476,10798,334,359,20229,915,1062
2014-02-27 04:07:28,160,446746115344,142702,2084,141309,1912,452,476,10798,395,359,20229,1038,1062
2014-02-27 04:08:33,899,446746181083,142735,2084,141342,1912,568,476,10798,331,359,20229,1071,1062
2014-02-27 04:09:38,421,446746245605,142767,2084,141374,1912,454,476,10798,400,359,20229,975,1062
2014-02-27 04:10:43,882,446746311066,142800,2084,141407,1912,598,476,10798,282,359,20229,1049,1062
2014-02-27 04:11:48,554,446746375738,142832,2084,141439,1912,454,476,10798,333,359,20229,915,1062
2014-02-27 04:12:54,58,446746441242,142865,2084,141472,1912,499,476,10798,333,359,20229,970,1062
2014-02-27 04:13:58,592,446746505776,142897,2084,141504,1912,453,476,10798,339,359,20229,915,1062
2014-02-27 04:15:04,186,446746571370,142930,2084,141537,1912,453,476,10798,347,359,20229,1061,1062
2014-02-27 04:16:09,972,446746637156,142963,2084,141570,1912,470,476,10798,332,359,20229,973,1062
2014-02-27 04:17:14,504,446746701688,142995,2084,141602,1912,453,476,10798,341,359,20229,915,1062
2014-02-27 04:18:19,993,446746767177,143028,2084,141635,1912,455,476,10798,350,359,20229,941,1062
2014-02-27 04:19:24,595,446746831779,143060,2084,141667,1912,455,476,10798,265,359,20229,845,1062
2014-02-27 04:20:30,58,446746897242,143093,2084,141700,1912,535,476,10798,262,359,20229,971,1062
2014-02-27 04:21:35,877,446746963061,143126,2084,141733,1912,598,476,10798,283,359,20229,1004,1062
2014-02-27 04:22:40,175,446747027359,143158,2084,141765,1912,452,476,10798,329,359,20229,951,1062
2014-02-27 04:23:45,976,446747093160,143191,2084,141798,1912,460,476,10798,350,359,20229,983,1062
2014-02-27 04:24:50,471,446747157655,143223,2084,141830,1912,453,476,10798,263,359,20229,837,1062
2014-02-27 04:25:55,929,446747223113,143256,2084,141863,1912,460,476,10798,361,359,20229,928,1062
2014-02-27 04:27:00,542,446747287726,143288,2084,141895,1912,453,476,10798,264,359,20229,837,1062
2014-02-27 04:28:05,985,446747353169,143321,2084,141928,1912,461,476,10798,359,359,20229,991,1062
2014-02-27 04:29:10,545,446747417729,143353,2084,141960,1912,453,476,10798,267,359,20229,845,1062
2014-02-27 04:30:16,1,446747483185,143386,2084,141993,1912,468,476,10798,329,359,20229,926,1062
2014-02-27 04:31:20,656,446747547840,143418,2084,142025,1912,454,476,10798,263,359,20229,837,1062
2014-02-27 04:32:26,99,446747613283,143451,2084,142058,1912,477,476,10798,333,359,20229,1012,1062
2014-02-27 04:33:31,900,446747679084,143484,2084,142091,1912,589,476,10798,335,359,20229,1047,1062
2014-02-27 04:34:36,515,446747743699,143516,2084,142123,1912,453,476,10798,329,359,20229,907,1062
2014-02-27 04:35:42,56,446747809240,143549,2084,142156,1912,474,476,10798,329,359,20229,974,1062
